EC20,Eurocopter EC120 Colibri / Harbin HC120,https://en.wikipedia.org//wiki/Eurocopter_EC120_Colibri
EC25,Eurocopter EC225 Super Puma,https://en.wikipedia.org//wiki/Eurocopter_EC225_Super_Puma
EC30,Eurocopter EC130,https://en.wikipedia.org//wiki/Eurocopter_EC130
EC35,Eurocopter EC135 / EC635,https://en.wikipedia.org//wiki/Eurocopter_EC135
EC45,Eurocopter EC145,https://en.wikipedia.org//wiki/Eurocopter_EC145
EC55,Eurocopter EC155,https://en.wikipedia.org//wiki/Eurocopter_EC155
EC75,Eurocopter EC175,https://en.wikipedia.org//wiki/Eurocopter_EC175
EXPL,MD Helicopters MD900 Explorer,https://en.wikipedia.org//wiki/MD_Helicopters_MD_Explorer
F100,Fokker 100,https://en.wikipedia.org//wiki/Fokker_100
F27,Fokker F27 Friendship,https://en.wikipedia.org//wiki/Fokker_F27_Friendship
F28,Fokker F28 Fellowship,https://en.wikipedia.org//wiki/Fokker_F28_Fellowship
F2TH,Dassault Falcon 2000,https://en.wikipedia.org//wiki/Dassault_Falcon_2000
F406,Reims-Cessna F406 Caravan II,https://en.wikipedia.org//wiki/Reims-Cessna_F406_Caravan_II
F50,Fokker 50,https://en.wikipedia.org//wiki/Fokker_50
F70,Fokker 70,https://en.wikipedia.org//wiki/Fokker_70
F900,Dassault Falcon 900,https://en.wikipedia.org//wiki/Dassault_Falcon_900
FA50,Dassault Falcon 50,https://en.wikipedia.org//wiki/Dassault_Falcon_50
FA7X,Dassault Falcon 7X,https://en.wikipedia.org//wiki/Dassault_Falcon_7X
G159,Gulfstream Aerospace G-159 Gulfstream I,https://en.wikipedia.org//wiki/Gulfstream_I
G21,Grumman G-21 Goose,https://en.wikipedia.org//wiki/Grumman_G-21_Goose
G280,Gulfstream G280,https://en.wikipedia.org//wiki/Gulfstream_G280
G73T,Grumman G-73 Turbo Mallard,https://en.wikipedia.org//wiki/Grumman_G-73_Turbo_Mallard
GL5T,Bombardier BD-700 Global 5000,https://en.wikipedia.org//wiki/Bombardier_Global_Express#Global_5000
GLEX,Bombardier Global Express / Raytheon Sentinel,https://en.wikipedia.org//wiki/Bombardier_Global_Express
GLF4,Gulfstream IV,https://en.wikipedia.org//wiki/Gulfstream_IV
GLF5,Gulfstream V,https://en.wikipedia.org//wiki/Gulfstream_V
GLF6,Gulfstream G650,https://en.wikipedia.org//wiki/Gulfstream_G650
H25B,British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900,https://en.wikipedia.org//wiki/British_Aerospace_125
H25C,British Aerospace 125-1000 series / Hawker/Raytheon 1000,https://en.wikipedia.org//wiki/British_Aerospace_125
HDJT,Honda HA-420,https://en.wikipedia.org//wiki/Honda_Jet
HERN,De Havilland DH.114 Heron,https://en.wikipedia.org//wiki/De_Havilland_DH.114_Heron
I114,Ilyushin Il-114,https://en.wikipedia.org//wiki/Ilyushin_Il-114
IL18,Ilyushin Il-18,https://en.wikipedia.org//wiki/Ilyushin_Il-18
IL62,Ilyushin Il-62,https://en.wikipedia.org//wiki/Ilyushin_Il-62
IL76,Ilyushin Il-76,https://en.wikipedia.org//wiki/Ilyushin_Il-76
IL86,Ilyushin Il-86,https://en.wikipedia.org//wiki/Ilyushin_Il-86
IL96,Ilyushin Il-96,https://en.wikipedia.org//wiki/Ilyushin_Il-96
J328,Fairchild Dornier 328JET,https://en.wikipedia.org//wiki/Fairchild_Dornier_328JET
JS31,British Aerospace Jetstream 31,https://en.wikipedia.org//wiki/British_Aerospace_Jetstream_31
JS32,British Aerospace Jetstream 32,https://en.wikipedia.org//wiki/British_Aerospace_Jetstream_32
JS41,British Aerospace Jetstream 41,https://en.wikipedia.org//wiki/British_Aerospace_Jetstream_41
